Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,"('Standard', 'Gls')","('Standard', 'Sh')","('Standard', 'SoT')","('Standard', 'SoT%')","('Standard', 'G/Sh')","('Standard', 'G/SoT')","('Standard', 'Dist')","('Standard', 'FK')","('Standard', 'PK')","('Standard', 'PKatt')","('Expected', 'xG')","('Expected', 'npxG')","('Expected', 'npxG/Sh')","('Expected', 'G-xG')","('Expected', 'np:G-xG')","('Unnamed: 24_level_0', 'Match Report')","('Performance', 'SoTA')","('Performance', 'GA')","('Performance', 'Saves')","('Performance', 'Save%')","('Performance', 'CS')","('Performance', 'PSxG')","('Performance', 'PSxG+/-')","('Penalty Kicks', 'PKatt')","('Penalty Kicks', 'PKA')","('Penalty Kicks', 'PKsv')","('Penalty Kicks', 'PKm')","('Launched', 'Cmp')","('Launched', 'Att')","('Launched', 'Cmp%')","('Passes', 'Att (GK)')","('Passes', 'Thr')","('Passes', 'Launch%')","('Passes', 'AvgLen')","('Goal Kicks', 'Att')","('Goal Kicks', 'Launch%')","('Goal Kicks', 'AvgLen')","('Crosses', 'Opp')","('Crosses', 'Stp')","('Crosses', 'Stp%')","('Sweeper', '#OPA')","('Sweeper', 'AvgDist')","('Unnamed: 35_level_0', 'Match Report')","('Total', 'Cmp')","('Total', 'Att')","('Total', 'Cmp%')","('Total', 'TotDist')","('Total', 'PrgDist')","('Short', 'Cmp')","('Short', 'Att')","('Short', 'Cmp%')","('Medium', 'Cmp')","('Medium', 'Att')","('Medium', 'Cmp%')","('Long', 'Cmp')","('Long', 'Att')","('Long', 'Cmp%')","('Unnamed: 23_level_0', 'Ast')","('Unnamed: 24_level_0', 'xAG')","('Unnamed: 25_level_0', 'xA')","('Unnamed: 26_level_0', 'KP')","('Unnamed: 27_level_0', '1/3')","('Unnamed: 28_level_0', 'PPA')","('Unnamed: 29_level_0', 'CrsPA')","('Unnamed: 30_level_0', 'PrgP')","('Unnamed: 31_level_0', 'Match Report')","('SCA Types', 'SCA')","('SCA Types', 'PassLive')","('SCA Types', 'PassDead')","('SCA Types', 'TO')","('SCA Types', 'Sh')","('SCA Types', 'Fld')","('SCA Types', 'Def')","('GCA Types', 'GCA')","('GCA Types', 'PassLive')","('GCA Types', 'PassDead')","('GCA Types', 'TO')","('GCA Types', 'Sh')","('GCA Types', 'Fld')","('GCA Types', 'Def')","('Unnamed: 23_level_0', 'Match Report')","('Tackles', 'Tkl')","('Tackles', 'TklW')","('Tackles', 'Def 3rd')","('Tackles', 'Mid 3rd')","('Tackles', 'Att 3rd')","('Challenges', 'Tkl')","('Challenges', 'Att')","('Challenges', 'Tkl%')","('Challenges', 'Lost')","('Blocks', 'Blocks')","('Blocks', 'Sh')","('Blocks', 'Pass')","('Unnamed: 21_level_0', 'Int')","('Unnamed: 22_level_0', 'Tkl+Int')","('Unnamed: 23_level_0', 'Clr')","('Unnamed: 24_level_0', 'Err')","('Unnamed: 25_level_0', 'Match Report')","('For Arsenal', 'Poss')","('Touches', 'Touches')","('Touches', 'Def Pen')","('Touches', 'Def 3rd')","('Touches', 'Mid 3rd')","('Touches', 'Att 3rd')","('Touches', 'Att Pen')","('Touches', 'Live')","('Take-Ons', 'Att')","('Take-Ons', 'Succ')","('Take-Ons', 'Succ%')","('Take-Ons', 'Tkld')","('Take-Ons', 'Tkld%')","('Carries', 'Carries')","('Carries', 'TotDist')","('Carries', 'PrgDist')","('Carries', 'PrgC')","('Carries', '1/3')","('Carries', 'CPA')","('Carries', 'Mis')","('Carries', 'Dis')","('Receiving', 'Rec')","('Receiving', 'PrgR')","('Unnamed: 32_level_0', 'Match Report')","('Performance', 'CrdY')","('Performance', 'CrdR')","('Performance', '2CrdY')","('Performance', 'Fls')","('Performance', 'Fld')","('Performance', 'Off')","('Performance', 'Crs')","('Performance', 'Int')","('Performance', 'TklW')","('Performance', 'PKwon')","('Performance', 'PKcon')","('Performance', 'OG')","('Performance', 'Recov')","('Aerial Duels', 'Won')","('Aerial Duels', 'Lost')","('Aerial Duels', 'Won%')","('Unnamed: 25_level_0', 'Match Report')"
2023-08-12,12:30,Matchweek 1,Sat,Home,W,2.0,1.0,Nott'ham Forest,0.8,1.2,78.0,59984.0,Martin Ødegaard,4-3-3,3-4-3,Michael Oliver,Match Report,,2,15,7,46.7,0.13,0.29,19.1,0,0,0,0.8,0.8,0.06,1.2,1.2,Match Report,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,1,6,16.7,23,4,21.7,28.7,8,12.5,20.6,3,1,33.3,0,3.3,Match Report,716,807,88.7,11400,3204,367,393,93.4,306,334,91.6,35,55,63.6,2,0.6,0.9,13,61,13,1,58,Match Report,30,28,0,2,0,0,0,4,3,0,1,0,0,0,Match Report,19,15,4,12,3,8,15,53.3,7,6,1,5,7,26,9,0,Match Report,78.0,902,44,185,485,238,30,902,15,4,26.7,8,53.3,706,3482,1908,34,24,6,10,9,712,58,Match Report,2,0,0,12,12,2,14,7,15,0,0,0,48,12,20,37.5,Match Report
2023-08-21,20:00,Matchweek 2,Mon,Away,W,1.0,0.0,Crystal Palace,2.0,1.0,53.0,24189.0,Martin Ødegaard,4-3-3,4-2-3-1,David Coote,Match Report,,1,13,2,15.4,0.0,0.0,16.4,0,1,1,2.0,1.2,0.09,-1.0,-1.2,Match Report,2,0,2,100.0,1,0.2,0.2,0,0,0,0,4,13,30.8,24,5,41.7,35.4,7,42.9,40.9,15,1,6.7,3,21.4,Match Report,436,527,82.7,7448,2162,222,244,91.0,164,187,87.7,38,71,53.5,0,0.9,0.7,8,46,13,2,40,Match Report,26,17,4,1,2,2,0,2,0,1,0,0,1,0,Match Report,14,7,9,4,1,9,19,47.4,10,13,7,6,8,22,18,0,Match Report,53.0,627,60,162,267,199,31,626,17,6,35.3,6,35.3,395,2182,1143,21,12,8,8,8,432,40,Match Report,3,1,1,10,13,2,21,8,7,1,0,0,44,13,14,48.1,Match Report
2023-08-26,15:00,Matchweek 3,Sat,Home,D,2.0,2.0,Fulham,3.2,0.6,71.0,59961.0,Martin Ødegaard,4-3-3,4-3-3,Paul Tierney,Match Report,,2,18,9,50.0,0.06,0.11,13.8,0,1,1,3.2,2.4,0.14,-1.2,-1.4,Match Report,3,2,1,33.3,0,0.4,-1.6,0,0,0,0,2,3,66.7,30,6,6.7,21.1,5,20.0,25.8,8,0,0.0,2,23.0,Match Report,644,741,86.9,10897,3297,322,353,91.2,258,288,89.6,54,76,71.1,1,2.0,3.1,15,63,25,4,93,Match Report,34,27,2,1,3,1,0,3,2,0,0,0,1,0,Match Report,14,8,3,9,2,5,6,83.3,1,14,2,12,6,20,11,2,Match Report,71.0,845,36,138,380,336,57,844,30,15,50.0,10,33.3,470,2742,1518,28,17,11,18,8,639,92,Match Report,0,0,0,6,5,4,32,6,8,1,0,0,56,9,14,39.1,Match Report
2023-09-03,16:30,Matchweek 4,Sun,Home,W,3.0,1.0,Manchester Utd,2.3,0.9,55.0,60192.0,Martin Ødegaard,4-3-3,4-2-3-1,Anthony Taylor,Match Report,,3,17,5,29.4,0.18,0.6,15.0,0,0,0,2.3,2.3,0.13,0.7,0.7,Match Report,2,1,1,50.0,0,0.6,-0.4,0,0,0,0,2,5,40.0,27,6,18.5,25.7,1,0.0,19.0,2,0,0.0,0,,Match Report,490,583,84.0,8429,2660,218,235,92.8,230,262,87.8,31,56,55.4,3,2.0,1.2,15,50,12,0,45,Match Report,31,23,4,3,1,0,0,6,3,1,1,1,0,0,Match Report,11,8,7,3,1,6,10,60.0,4,14,7,7,8,19,8,0,Match Report,55.0,680,46,168,269,246,41,680,22,12,54.5,10,45.5,434,2127,1083,25,14,7,11,5,484,43,Match Report,2,0,0,8,7,2,26,8,8,0,0,0,48,13,13,50.0,Match Report
2023-09-17,16:30,Matchweek 5,Sun,Away,W,1.0,0.0,Everton,1.0,0.3,74.0,39217.0,Martin Ødegaard,4-3-3,4-5-1,Simon Hooper,Match Report,,1,13,4,30.8,0.08,0.25,17.4,0,0,0,1.0,1.0,0.08,0.0,0.0,Match Report,1,0,1,100.0,1,0.1,0.1,0,0,0,0,5,7,71.4,35,7,17.1,26.3,5,20.0,28.6,4,2,50.0,3,17.7,Match Report,627,721,87.0,11578,3473,233,257,90.7,324,350,92.6,60,84,71.4,1,0.7,0.7,9,37,16,3,60,Match Report,22,15,1,2,3,0,1,2,2,0,0,0,0,0,Match Report,9,8,3,4,2,4,7,57.1,3,9,4,5,6,15,12,0,Match Report,74.0,797,62,250,328,223,28,797,18,10,55.6,7,38.9,545,2285,1209,15,14,5,13,12,618,58,Match Report,1,0,0,10,12,4,18,6,8,0,0,0,45,9,10,47.4,Match Report
2023-09-24,14:00,Matchweek 6,Sun,Home,D,2.0,2.0,Tottenham,1.8,1.4,47.0,60156.0,Martin Ødegaard,4-3-3,4-2-3-1,Robert Jones,Match Report,,1,12,4,33.3,0.0,0.0,16.9,0,1,1,1.8,1.2,0.1,-0.8,-1.2,Match Report,5,2,3,60.0,0,2.6,0.6,0,0,0,0,6,15,40.0,35,7,42.9,35.0,2,0.0,13.5,8,0,0.0,4,27.2,Match Report,346,423,81.8,6586,2377,143,163,87.7,161,183,88.0,40,67,59.7,0,0.6,0.6,8,29,5,2,32,Match Report,21,13,4,0,3,0,1,1,0,0,0,1,0,0,Match Report,24,12,9,8,7,11,17,64.7,6,17,4,13,11,35,12,1,Match Report,47.0,529,54,146,216,174,25,528,17,8,47.1,9,52.9,313,1643,833,17,15,6,12,19,343,31,Match Report,3,0,0,12,18,2,20,11,12,0,0,0,46,14,8,63.6,Match Report
2023-09-30,15:00,Matchweek 7,Sat,Away,W,4.0,0.0,Bournemouth,3.4,0.6,57.0,11193.0,Martin Ødegaard,4-3-3,4-2-3-1,Michael Salisbury,Match Report,,4,13,6,46.2,0.15,0.33,15.5,0,2,2,3.4,1.9,0.14,0.6,0.1,Match Report,1,0,1,100.0,1,0.2,0.2,0,0,0,0,5,10,50.0,51,3,15.7,23.0,7,28.6,26.0,12,3,25.0,1,15.3,Match Report,495,564,87.8,7132,2569,285,305,93.4,179,196,91.3,16,33,48.5,1,1.0,1.4,11,18,11,1,31,Match Report,28,18,2,3,2,3,0,7,2,1,0,1,3,0,Match Report,28,10,14,12,2,19,33,57.6,14,17,4,13,9,37,14,0,Match Report,57.0,686,82,279,250,163,35,684,17,10,58.8,5,29.4,450,2327,1130,20,11,6,19,11,490,30,Match Report,1,0,0,10,11,0,4,9,10,2,0,0,46,9,6,60.0,Match Report
2023-10-08,16:30,Matchweek 8,Sun,Home,W,1.0,0.0,Manchester City,0.4,0.5,49.0,60233.0,Martin Ødegaard,4-3-3,4-3-3,Michael Oliver,Match Report,,1,12,2,16.7,0.08,0.5,19.2,0,0,0,0.4,0.4,0.03,0.6,0.6,Match Report,0,0,0,,1,0.0,0.0,0,0,0,0,10,22,45.5,45,5,42.2,35.2,7,42.9,31.1,9,1,11.1,0,3.5,Match Report,454,535,84.9,7261,2184,238,260,91.5,179,197,90.9,26,56,46.4,1,0.4,0.6,10,22,6,0,34,Match Report,23,14,3,2,3,0,1,2,2,0,0,0,0,0,Match Report,20,12,5,9,6,10,18,55.6,8,16,2,14,9,29,9,0,Match Report,49.0,638,66,227,224,192,25,638,20,7,35.0,11,55.0,421,2054,843,13,14,5,6,11,442,34,Match Report,2,0,0,8,7,2,11,9,12,0,0,0,42,5,8,38.5,Match Report
2023-10-21,17:30,Matchweek 9,Sat,Away,D,2.0,2.0,Chelsea,1.0,1.3,56.0,39723.0,Martin Ødegaard,4-3-3,4-2-3-1,Chris Kavanagh,Match Report,,2,13,3,23.1,0.15,0.67,14.3,0,0,0,1.0,1.0,0.08,1.0,1.0,Match Report,5,2,3,80.0,0,1.9,-0.1,1,1,0,0,4,13,30.8,49,10,22.4,29.3,6,33.3,24.8,7,1,14.3,4,23.6,Match Report,509,608,83.7,9108,3084,216,251,86.1,239,259,92.3,44,72,61.1,1,0.9,0.7,11,40,7,2,55,Match Report,21,11,4,1,3,1,1,2,2,0,0,0,0,0,Match Report,19,9,7,6,6,7,11,63.6,4,9,1,8,9,28,5,2,Match Report,56.0,699,60,221,310,172,17,699,17,6,35.3,9,52.9,407,1720,873,13,13,3,13,8,502,55,Match Report,3,0,0,14,7,1,16,9,9,0,1,0,54,15,15,50.0,Match Report
2023-10-28,15:00,Matchweek 10,Sat,Home,W,5.0,0.0,Sheffield Utd,2.8,0.0,67.0,60153.0,Bukayo Saka,4-3-3,4-4-2,Tim Robinson,Match Report,,5,12,6,50.0,0.33,0.67,17.0,0,1,1,2.8,2.0,0.17,2.2,2.0,Match Report,0,0,0,,1,0.0,0.0,0,0,0,0,4,7,57.1,23,2,26.1,28.4,3,33.3,30.0,5,3,60.0,1,12.8,Match Report,613,693,88.5,10330,3085,263,294,89.5,288,306,94.1,42,58,72.4,2,1.6,1.3,8,46,8,1,57,Match Report,24,16,2,3,1,2,0,9,3,2,1,1,2,0,Match Report,10,4,5,4,1,6,9,66.7,3,9,1,8,8,18,8,0,Match Report,67.0,771,32,168,408,201,37,770,13,6,46.2,5,38.5,542,2516,1278,23,11,12,12,15,603,57,Match Report,0,0,0,9,13,1,17,8,4,1,0,0,49,11,10,52.4,Match Report
2023-11-04,17:30,Matchweek 11,Sat,Away,L,0.0,1.0,Newcastle Utd,0.6,1.0,58.0,52194.0,Jorginho,4-3-3,4-3-3,Stuart Attwell,Match Report,,0,14,1,7.1,0.0,0.0,20.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Match Report,1,1,0,0.0,0,0.9,-0.1,0,0,0,0,5,14,35.7,27,4,37.0,36.1,6,66.7,49.3,7,0,0.0,1,14.3,Match Report,431,525,82.1,7721,2366,187,209,89.5,201,231,87.0,39,69,56.5,0,0.5,0.9,11,52,10,3,52,Match Report,24,19,2,1,2,0,0,0,0,0,0,0,0,0,Match Report,11,8,3,7,1,2,9,22.2,7,19,5,14,7,18,13,0,Match Report,58.0,620,40,123,262,241,30,620,18,7,38.9,8,44.4,352,1541,840,15,12,4,9,10,429,52,Match Report,1,0,0,9,14,1,25,7,8,0,0,0,40,14,13,51.9,Match Report
2023-11-11,15:00,Matchweek 12,Sat,Home,W,3.0,1.0,Burnley,1.8,0.3,63.0,60232.0,Jorginho,4-3-3,4-4-2,Michael Oliver,Match Report,,3,16,6,37.5,0.19,0.5,13.8,0,0,0,1.8,1.8,0.12,1.2,1.2,Match Report,5,1,4,80.0,0,1.1,0.1,0,0,0,0,3,10,30.0,22,6,36.4,32.1,4,50.0,48.5,7,0,0.0,1,23.0,Match Report,507,614,82.6,9164,2493,198,225,88.0,272,297,91.6,36,76,47.4,2,1.8,1.4,12,54,19,2,73,Match Report,27,19,4,1,2,0,1,5,2,1,0,2,0,0,Match Report,17,8,10,6,1,11,14,78.6,3,9,0,9,3,20,11,1,Match Report,63.0,691,44,143,290,261,45,691,12,5,41.7,6,50.0,448,2141,1053,21,3,10,5,7,503,70,Match Report,0,1,0,8,9,3,32,3,8,0,0,0,36,28,22,56.0,Match Report
2023-11-25,17:30,Matchweek 13,Sat,Away,W,1.0,0.0,Brentford,1.6,1.1,63.0,17201.0,Martin Ødegaard,4-3-3,5-3-2,Tim Robinson,Match Report,,1,15,4,26.7,0.07,0.25,15.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4,18,22.2,29,4,44.8,37.6,7,71.4,44.9,7,1,14.3,4,21.7,Match Report,442,564,78.4,7090,2335,224,254,88.2,159,193,82.4,37,73,50.7,1,1.4,1.3,11,35,11,2,50,Match Report,28,25,2,0,0,1,0,2,2,0,0,0,0,0,Match Report,8,5,4,3,1,4,8,50.0,4,11,3,8,5,13,15,1,Match Report,63.0,661,59,160,224,281,32,661,11,5,45.5,6,54.5,421,1818,844,21,17,9,15,8,439,50,Match Report,1,0,0,7,8,3,27,5,5,0,0,0,46,20,23,46.5,Match Report
2023-12-02,15:00,Matchweek 14,Sat,Home,W,2.0,1.0,Wolves,2.8,0.7,57.0,60262.0,Martin Ødegaard,4-3-3,3-5-2,Peter Bankes,Match Report,,2,19,6,31.6,0.11,0.33,15.6,0,0,0,2.8,2.8,0.15,-0.8,-0.8,Match Report,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,2,9,22.2,24,6,33.3,32.0,5,20.0,23.8,7,1,14.3,0,12.0,Match Report,567,655,86.6,10105,2956,222,242,91.7,303,330,91.8,36,62,58.1,2,2.6,1.9,16,70,15,3,77,Match Report,33,27,1,1,3,1,0,4,3,0,1,0,0,0,Match Report,17,8,6,7,4,7,16,43.8,9,8,0,8,12,29,9,1,Match Report,57.0,754,44,146,341,268,36,754,15,3,20.0,10,66.7,491,2285,1112,23,12,9,15,8,561,77,Match Report,1,0,0,10,8,3,15,12,8,0,0,0,45,9,11,45.0,Match Report
2023-12-05,20:15,Matchweek 15,Tue,Away,W,4.0,3.0,Luton Town,2.2,0.5,66.0,11031.0,Martin Ødegaard,4-3-3,3-4-3,Samuel Barrott,Match Report,,4,23,9,39.1,0.17,0.44,15.5,0,0,0,2.2,2.2,0.1,1.8,1.8,Match Report,4,3,1,25.0,0,0.9,-2.1,0,0,0,0,8,16,50.0,26,2,42.3,32.5,5,100.0,65.2,9,2,22.2,2,17.0,Match Report,524,637,82.3,9012,3095,236,263,89.7,246,277,88.8,33,75,44.0,4,2.2,2.3,20,39,16,4,50,Match Report,42,33,2,2,3,1,1,8,7,1,0,0,0,0,Match Report,13,5,5,4,4,8,24,33.3,16,7,1,6,6,19,16,2,Match Report,66.0,745,39,213,333,204,49,745,21,8,38.1,9,42.9,436,1924,897,18,9,7,18,11,523,50,Match Report,1,0,0,7,14,4,25,6,5,0,0,0,51,19,19,50.0,Match Report
2023-12-09,17:30,Matchweek 16,Sat,Away,L,0.0,1.0,Aston Villa,1.4,0.6,61.0,42000.0,Martin Ødegaard,4-3-3,4-4-1-1,Jarred Gillett,Match Report,,0,12,3,25.0,0.0,0.0,14.8,1,0,0,1.4,1.4,0.12,-1.4,-1.4,Match Report,3,1,2,66.7,0,0.4,-0.6,0,0,0,0,1,5,20.0,22,9,22.7,26.8,4,0.0,10.8,7,1,14.3,3,31.5,Match Report,410,497,82.5,6668,2465,200,219,91.3,170,197,86.3,26,51,51.0,0,1.0,1.1,9,31,16,3,53,Match Report,24,21,1,0,0,1,1,0,0,0,0,0,0,0,Match Report,31,18,16,11,4,13,17,76.5,4,10,5,5,4,35,16,0,Match Report,61.0,626,43,154,340,137,35,626,22,7,31.8,13,59.1,352,1634,935,13,10,5,20,18,406,53,Match Report,2,0,0,11,16,4,10,4,18,0,0,0,63,8,4,66.7,Match Report
